system:index,mean,.geo
126,0.94,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.2953442081019,-9.615690562134525]}"
127,0.96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.4030315204563,-9.667153160912934]}"
128,0.46,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.265831214620725,-9.663816362426543]}"
129,0.98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.36513928497498,-9.657483929325013]}"
130,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3822111043667,-9.664157352561901]}"
131,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3269783319069,-9.572689577869879]}"
132,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.35471476651735,-9.578085469614466]}"
133,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.263716868726206,-9.594496988070125]}"
134,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.23303989255919,-9.683492748537692]}"
135,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.42083904487977,-9.606191210461029]}"
136,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.39621362371675,-9.689525866097695]}"
137,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.304381302698935,-9.663722577391477]}"
138,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.30263844629287,-9.635255820869304]}"
139,0.02,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.31821984579493,-9.576047139422013]}"
140,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.20625543236464,-9.682337563992578]}"
141,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.27540893955522,-9.681901610682699]}"
142,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.186912417658334,-9.662276194210795]}"
143,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.22650348046291,-9.650120788302756]}"
144,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.332682111920676,-9.60157121373153]}"
145,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.41746899971466,-9.599351044320807]}"
146,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.254210109523065,-9.619393577963429]}"
147,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.246329337407396,-9.58193227525442]}"
148,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.345746509082154,-9.620511459776672]}"
149,0.54,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.345929864287136,-9.687954317065467]}"
150,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.324585965939704,-9.575036518513818]}"
151,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.372977476703475,-9.680090384456047]}"
152,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.17983329152136,-9.581387521816211]}"
153,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.16506450878407,-9.608689826505515]}"
154,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.190269294260766,-9.591523251441739]}"
155,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.246997282129925,-9.675988512373554]}"
156,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.17462516438417,-9.601806997304912]}"
157,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.333162940694415,-9.624831788019492]}"
158,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.163577466719566,-9.635009699992395]}"
159,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40416612842415,-9.674243172289332]}"
160,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15748485999345,-9.668279645573895]}"
161,0.52,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40750415985473,-9.622688118315285]}"
162,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.24343740771664,-9.611461948775002]}"
163,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15840060977102,-9.576700448893297]}"
164,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.174196139145835,-9.604313180456252]}"
165,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38564817600718,-9.65297555511333]}"
166,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.287336545010724,-9.624218997783677]}"
167,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.23290550198092,-9.658560908626722]}"
168,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.203823954446385,-9.64775818049685]}"
169,0.69,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.17587283703379,-9.610269164930848]}"
170,0.04,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.167526095407595,-9.622335596401598]}"
171,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.181926390645465,-9.663108243958792]}"
172,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32223998858519,-9.589948466443781]}"
173,0.95,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.28237942111088,-9.580196686905014]}"
174,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.188178766679506,-9.651531354177683]}"
175,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.379127239881555,-9.679835521933422]}"
176,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.22030491076572,-9.580621307224451]}"
177,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15617224533163,-9.588882326295387]}"
178,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.35746839067056,-9.6887806099789]}"
179,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.33750902828456,-9.634724481135175]}"
180,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.1638883583385,-9.59533784208338]}"
181,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.16071872569312,-9.57701985128761]}"
182,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.428125255412525,-9.67764144991946]}"
183,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37000627798373,-9.668495173367239]}"
184,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.228386090576336,-9.591201840990996]}"
185,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.241539015630266,-9.580214554785487]}"
186,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37909669001962,-9.637724415786467]}"
187,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.381746907239275,-9.657764549015653]}"
188,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.1749651668681,-9.571533395372978]}"
189,0.52,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.281495861346585,-9.67811463061261]}"
190,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.28741854044662,-9.62878066087922]}"
191,0.86,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.42344167169744,-9.620927375259651]}"
192,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.27070074283334,-9.661090186167737]}"
193,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.29011409715301,-9.577912238065531]}"
194,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.2414300893389,-9.588639273568756]}"
195,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.29869474675469,-9.586117672196648]}"
196,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.227650422671296,-9.69168336382185]}"
197,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.154864834261225,-9.578657838119188]}"
198,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37052712458197,-9.633316118341236]}"
199,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.173518787090764,-9.615465831008922]}"
200,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.19361893872146,-9.690953057459831]}"
201,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.29561624122302,-9.637570639003547]}"
202,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.26251720693881,-9.623809065785359]}"
203,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.419281054383944,-9.650397234996058]}"
204,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.362104668371316,-9.625603377156478]}"
205,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.2042951507329,-9.601882509809855]}"
206,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.25212788095922,-9.655142616390386]}"
207,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.18094822767746,-9.637903720059338]}"
208,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.18146102461125,-9.636821908368113]}"
209,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.41366775538596,-9.641280358418832]}"
210,0.85,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.31614987807934,-9.648364974097776]}"
211,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.216418073318394,-9.671977585922452]}"
212,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.233921812717426,-9.64202764685477]}"
213,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.1555447296841,-9.581595250999793]}"
214,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.25442219151248,-9.655596010415483]}"
215,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37004351029449,-9.629505557891237]}"
216,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.260204069167536,-9.671816600444787]}"
217,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.27197905593247,-9.614942733508624]}"
218,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.359586742401405,-9.61232189035929]}"
219,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37405718013575,-9.645202749144604]}"
220,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.225361001679524,-9.644699664436347]}"
221,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.39582477809986,-9.575983778659195]}"
222,0.17,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3836439295471,-9.659327112726112]}"
223,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.353627017753034,-9.627828949918944]}"
224,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.34676683674379,-9.637411648760859]}"
225,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.267488679217514,-9.66551919685222]}"
